,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9712061285972595,0.624626636505127,1.6098089218139648
PCGrad,0.9677756428718567,1.0024405717849731,0.9654197096824646
No_PCGrad,0.9793722629547119,0.30723968148231506,3.3114664554595947
PCGrad,0.9749460220336914,0.2742520272731781,3.754941940307617
No_PCGrad,0.968384861946106,0.7271242737770081,1.3732069730758667
PCGrad,0.9859565496444702,0.8918489217758179,1.11361563205719
No_PCGrad,0.9860119819641113,0.3029384911060333,3.999493360519409
PCGrad,0.9835701584815979,0.45834609866142273,2.155665397644043
No_PCGrad,0.9727213978767395,0.2181263267993927,5.038890361785889
PCGrad,0.964874267578125,1.0175551176071167,0.9482280611991882
No_PCGrad,0.973164439201355,0.7625792026519775,1.3132944107055664
PCGrad,0.9754713773727417,0.5629289150238037,1.9013398885726929
No_PCGrad,0.9741093516349792,0.2139623910188675,4.955469608306885
PCGrad,0.9794260263442993,0.12919144332408905,7.645005226135254
No_PCGrad,0.9720110893249512,0.682021975517273,1.4650286436080933
PCGrad,0.9897770285606384,0.15864445269107819,6.7382588386535645
No_PCGrad,0.9874130487442017,0.4337940514087677,2.480313539505005
PCGrad,0.9557744264602661,1.0099437236785889,0.946364164352417
No_PCGrad,0.9740638732910156,0.6977455615997314,1.4227261543273926
PCGrad,0.9552544951438904,1.0112667083740234,0.9446114897727966
