,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.968558132648468,0.32155296206474304,3.122178792953491
PCGrad,0.9751789569854736,0.2786974608898163,3.613194465637207
No_PCGrad,0.9736323952674866,0.2807271182537079,3.586756467819214
PCGrad,0.9758139848709106,0.2969462275505066,3.3770973682403564
No_PCGrad,0.9768416881561279,0.2940073013305664,3.4475834369659424
PCGrad,0.9711778163909912,0.2694532871246338,3.756636381149292
No_PCGrad,0.9814180731773376,0.2899653911590576,3.522813558578491
PCGrad,0.9615423679351807,0.2740011215209961,3.6307246685028076
No_PCGrad,0.9747171998023987,0.2741527557373047,3.720221519470215
PCGrad,0.9728158712387085,0.26579493284225464,3.7913200855255127
No_PCGrad,0.9749326705932617,0.3241805136203766,3.128458023071289
PCGrad,0.9749053716659546,0.27212443947792053,3.6725192070007324
No_PCGrad,0.9793173670768738,0.27757635712623596,3.6750900745391846
PCGrad,0.971923828125,0.26652297377586365,3.7843575477600098
No_PCGrad,0.9744714498519897,0.286038875579834,3.5397040843963623
PCGrad,0.9726564884185791,0.26331281661987305,3.825774908065796
No_PCGrad,0.9738947153091431,0.2904592752456665,3.4834511280059814
PCGrad,0.9706953167915344,0.2733100354671478,3.671082019805908
No_PCGrad,0.9776850938796997,0.2945420444011688,3.4332759380340576
PCGrad,0.9857313632965088,0.2975645959377289,3.434504747390747
