,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9527799487113953,0.24308054149150848,4.2776198387146
PCGrad,0.9622704386711121,0.1493241935968399,6.966080665588379
No_PCGrad,0.9596969485282898,0.2592441737651825,3.9451985359191895
PCGrad,0.9532551765441895,0.13140277564525604,8.101147651672363
No_PCGrad,0.9565640687942505,0.1986306607723236,5.3797173500061035
PCGrad,0.9746286273002625,0.15512806177139282,7.273651123046875
No_PCGrad,0.9531741738319397,0.2023344337940216,5.281022548675537
PCGrad,0.9601770639419556,0.15488122403621674,6.970871925354004
No_PCGrad,0.9536373615264893,0.23864251375198364,4.3383073806762695
PCGrad,0.9557819366455078,0.18511337041854858,5.407181262969971
No_PCGrad,0.9532468914985657,0.21344467997550964,4.880527019500732
PCGrad,0.9542409777641296,0.16451813280582428,6.636938095092773
No_PCGrad,0.9540738463401794,0.23215818405151367,5.572781085968018
PCGrad,0.9656581878662109,0.1781107485294342,5.758123397827148
No_PCGrad,0.9553346037864685,0.24246425926685333,4.328028678894043
PCGrad,0.9700989723205566,0.14862486720085144,7.320466041564941
No_PCGrad,0.9559276103973389,0.2856346666812897,3.4779212474823
PCGrad,0.9599185585975647,0.15657733380794525,6.676162242889404
No_PCGrad,0.9586113095283508,0.3482469618320465,2.9231154918670654
PCGrad,0.9720398783683777,0.1924869567155838,5.301893711090088
