,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9573901295661926,0.4824075698852539,2.079615831375122
PCGrad,0.9723831415176392,0.45524606108665466,2.2158360481262207
No_PCGrad,0.9592612385749817,0.5305032730102539,1.8745920658111572
PCGrad,0.9783186316490173,0.42152342200279236,2.392857789993286
No_PCGrad,0.9593688249588013,0.4742688536643982,2.1206440925598145
PCGrad,0.9695991277694702,0.5056825876235962,2.00881028175354
No_PCGrad,0.9684358835220337,0.4684709310531616,2.17840313911438
PCGrad,0.9599863886833191,0.47312209010124207,2.1191349029541016
No_PCGrad,0.9591087698936462,0.4380863904953003,2.3330001831054688
PCGrad,0.9721565842628479,0.5248743891716003,1.9074376821517944
No_PCGrad,0.9633867740631104,0.4947202801704407,2.0551159381866455
PCGrad,0.9667016267776489,0.5366103053092957,1.8520632982254028
No_PCGrad,0.9636027812957764,0.46126052737236023,2.228813648223877
PCGrad,0.9608146548271179,0.5160900950431824,1.9393030405044556
No_PCGrad,0.9655432105064392,0.5046607255935669,2.0519988536834717
PCGrad,0.9703993201255798,0.5008547902107239,2.0046913623809814
No_PCGrad,0.9676905274391174,0.5041385889053345,2.0365591049194336
PCGrad,0.9624825119972229,0.4201217591762543,2.3501501083374023
No_PCGrad,0.9588737487792969,0.4937388598918915,2.0362515449523926
PCGrad,0.9593341946601868,0.398044615983963,2.4986119270324707
