,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9586495757102966,0.3489973843097687,2.929034948348999
PCGrad,0.9604107141494751,0.21997806429862976,4.679177761077881
No_PCGrad,0.9556646943092346,0.29395952820777893,3.414646863937378
PCGrad,0.9564242362976074,0.2425473928451538,4.177176475524902
No_PCGrad,0.958656907081604,0.3677349388599396,2.7241859436035156
PCGrad,0.9668640494346619,0.24329842627048492,4.228599548339844
No_PCGrad,0.9550431370735168,0.28855881094932556,3.501776933670044
PCGrad,0.957231342792511,0.29213741421699524,3.487335443496704
No_PCGrad,0.9600804448127747,0.30516380071640015,3.2996013164520264
PCGrad,0.9670628309249878,0.27782607078552246,3.561269760131836
No_PCGrad,0.958347737789154,0.331146776676178,3.0883376598358154
PCGrad,0.97727370262146,0.30495473742485046,3.3734817504882812
No_PCGrad,0.9559049606323242,0.2730211317539215,3.7567687034606934
PCGrad,0.9718712568283081,0.2442624717950821,4.227123737335205
No_PCGrad,0.9531615376472473,0.36278238892555237,2.755786180496216
PCGrad,0.9599496722221375,0.20946480333805084,4.883076190948486
No_PCGrad,0.9610491991043091,0.291734516620636,3.593951463699341
PCGrad,0.9617937803268433,0.23310501873493195,4.462258338928223
No_PCGrad,0.9600828289985657,0.3114089071750641,3.210491418838501
PCGrad,0.9556555151939392,0.27167537808418274,3.6947293281555176
