,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9095913767814636,0.23708033859729766,4.970995903015137
PCGrad,0.9140322804450989,0.2991931289434433,3.2070672512054443
No_PCGrad,0.9100211262702942,0.19073983132839203,6.869399070739746
PCGrad,0.9333542585372925,0.216823880871137,5.0111284255981445
No_PCGrad,0.9097498059272766,0.22460645884275438,5.543243408203125
PCGrad,0.9122780561447144,0.23369292169809341,4.627562046051025
No_PCGrad,0.9157244563102722,0.24661411295334498,5.263779163360596
PCGrad,0.9111748933792114,0.1645428165793419,7.119439125061035
No_PCGrad,0.9092905521392822,0.2488442892829577,5.986153602600098
PCGrad,0.9122037887573242,0.17680481572945914,7.031866550445557
No_PCGrad,0.9103736281394958,0.22285577803850173,7.240596294403076
PCGrad,0.9169668555259705,0.17724472433328628,5.97409200668335
No_PCGrad,0.9091222286224365,0.22213155180215835,6.287228584289551
PCGrad,0.932324230670929,0.2741696680585543,3.631066083908081
No_PCGrad,0.909866213798523,0.2461230551203092,5.483391284942627
PCGrad,0.9126890301704407,0.2404544894893964,4.819464683532715
No_PCGrad,0.9104987978935242,0.23930130352576573,6.006990909576416
PCGrad,0.9143060445785522,0.20331400980552036,5.132850170135498
No_PCGrad,0.909712016582489,0.22333878378073374,6.1612653732299805
PCGrad,0.9283269643783569,0.31573942651351294,3.148197650909424
