,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9175662994384766,0.42122266872632547,2.2495973110198975
PCGrad,0.9325577020645142,0.3082950896801163,3.125447988510132
No_PCGrad,0.9198731780052185,0.39606256126444,2.3724491596221924
PCGrad,0.9281577467918396,0.38148936754899004,2.5112104415893555
No_PCGrad,0.9170868396759033,0.4716944362240276,2.071162223815918
PCGrad,0.9112399220466614,0.3264988996516699,2.975695848464966
No_PCGrad,0.914559006690979,0.417678194141936,2.271486759185791
PCGrad,0.9494755268096924,0.42759471104062835,2.252138376235962
No_PCGrad,0.9155198335647583,0.3390144484253222,2.7824015617370605
PCGrad,0.9266313314437866,0.3158324500153348,3.094019889831543
No_PCGrad,0.9206713438034058,0.46205456343647167,2.07605242729187
PCGrad,0.9243272542953491,0.3149744599943417,3.08864426612854
No_PCGrad,0.9135358929634094,0.41707951721103714,2.2532413005828857
PCGrad,0.9174667000770569,0.37713678506599074,2.536015510559082
No_PCGrad,0.918125569820404,0.5047443142567558,1.8585307598114014
PCGrad,0.9120664596557617,0.5121185488399418,1.8781567811965942
No_PCGrad,0.9143264889717102,0.4390832985041242,2.2533628940582275
PCGrad,0.9212908744812012,0.341803141138106,2.827216148376465
No_PCGrad,0.9192549586296082,0.475780896871026,1.9894102811813354
PCGrad,0.9320479035377502,0.3290578450051304,2.960186719894409
