,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.914787232875824,0.3539429937799772,2.91276478767395
PCGrad,0.9152016043663025,0.3151896600921949,3.352541446685791
No_PCGrad,0.909278929233551,0.3649587665994962,2.8767545223236084
PCGrad,0.911169171333313,0.31534532457590103,3.5398223400115967
No_PCGrad,0.9125807881355286,0.3612183799346288,2.7960729598999023
PCGrad,0.9117915630340576,0.29582800368467965,4.47262716293335
No_PCGrad,0.9130099415779114,0.3707966337601344,2.699310302734375
PCGrad,0.9139136672019958,0.4669885421792666,2.0854122638702393
No_PCGrad,0.9117923378944397,0.35282004723946253,3.0268638134002686
PCGrad,0.9113681316375732,0.39789527108271916,2.432072162628174
No_PCGrad,0.9130032062530518,0.3812076975901922,2.5972776412963867
PCGrad,0.9107929468154907,0.28886520167191826,3.860447883605957
No_PCGrad,0.9130510687828064,0.4284481580058734,2.3302078247070312
PCGrad,0.9144070148468018,0.30379017144441606,3.4399254322052
No_PCGrad,0.9127931594848633,0.35495230108499526,2.9509425163269043
PCGrad,0.9195843935012817,0.3033180112640063,3.5097274780273438
No_PCGrad,0.9149576425552368,0.37549175719420114,2.6590158939361572
PCGrad,0.912479817867279,0.30535048643747964,3.6993985176086426
No_PCGrad,0.9139556288719177,0.4088309735059738,2.4523088932037354
PCGrad,0.9159237146377563,0.3831418628493945,2.7331154346466064
