,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9225671291351318,0.2824119338132803,3.4084413051605225
PCGrad,0.9239285588264465,0.25126099089781445,3.8191959857940674
No_PCGrad,0.922629714012146,0.33913162509793215,2.906895875930786
PCGrad,0.9224632382392883,0.21044510610184622,4.654475688934326
No_PCGrad,0.9198298454284668,0.31655586701380783,3.084320545196533
PCGrad,0.9189512133598328,0.21545206345497211,4.552067756652832
No_PCGrad,0.9120112061500549,0.2541329334565351,3.804867744445801
PCGrad,0.9314324259757996,0.3286243706555814,2.937908172607422
No_PCGrad,0.9169377684593201,0.3033524642677369,3.174145221710205
PCGrad,0.9408489465713501,0.3972903439913753,2.4108071327209473
No_PCGrad,0.9184404611587524,0.2896926419441754,3.336289882659912
PCGrad,0.9280995726585388,0.22124680172664063,4.457411766052246
No_PCGrad,0.9149063229560852,0.27141020078103517,3.607177734375
PCGrad,0.9175533652305603,0.2249383912406693,4.277429103851318
No_PCGrad,0.9153059124946594,0.27930187349566366,3.492584228515625
PCGrad,0.9315972924232483,0.20841709148247264,4.757610321044922
No_PCGrad,0.910269021987915,0.30658349235659665,3.0972273349761963
PCGrad,0.9326657652854919,0.2782588659945429,3.4572746753692627
No_PCGrad,0.9177544116973877,0.28282505818748166,3.3476364612579346
PCGrad,0.9200167059898376,0.2007633109356979,5.041112422943115
