,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9142431020736694,0.2860670349511661,1.117760181427002
PCGrad,0.9157509207725525,0.16849857325616635,6.925163269042969
No_PCGrad,0.9097377061843872,0.2526428350492528,4.294290065765381
PCGrad,0.9173657298088074,0.3645364213146661,3.1942298412323
No_PCGrad,0.914739727973938,0.3685462325811386,2.8861825466156006
PCGrad,0.9162015318870544,0.18618844551475425,5.998380184173584
No_PCGrad,0.913037896156311,0.2610369204690582,4.695106506347656
PCGrad,0.9166447520256042,0.20066126900676048,6.298284530639648
No_PCGrad,0.9134330153465271,0.2708807863687214,4.068123817443848
PCGrad,0.9127074480056763,0.29827058221164504,3.4579641819000244
No_PCGrad,0.9136743545532227,0.289851518289039,3.648207902908325
PCGrad,0.9137052893638611,0.18584287366584729,5.904594898223877
No_PCGrad,0.9189943075180054,0.4053715498039597,2.7139153480529785
PCGrad,0.9165342450141907,0.2097218617796898,4.841465473175049
No_PCGrad,0.9145743250846863,0.309735880792141,3.629547119140625
PCGrad,0.9127097129821777,0.16980115557579617,5.762789726257324
No_PCGrad,0.9150086045265198,0.30933642408957607,4.3975114822387695
PCGrad,0.9139991402626038,0.19595977141472853,4.329945087432861
No_PCGrad,0.9113723635673523,0.2799560978616539,4.128939628601074
PCGrad,0.9159669280052185,0.23672656503162887,5.084469318389893
