,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.933478593826294,0.569262174765269,1.8139699697494507
PCGrad,0.9194172024726868,0.5863556975622972,1.8362351655960083
No_PCGrad,0.9259334206581116,0.6356050378084183,1.5824354887008667
PCGrad,0.9112076759338379,0.6027431881427765,1.5926244258880615
No_PCGrad,0.9195202589035034,0.5590578988194466,1.8160536289215088
PCGrad,0.9187540411949158,0.47347154378890993,2.1113224029541016
No_PCGrad,0.9187489748001099,0.564544846812884,1.8137463331222534
PCGrad,0.9423934817314148,0.4783598217864831,2.4125540256500244
No_PCGrad,0.925993025302887,0.6243438071012497,1.6200108528137207
PCGrad,0.9198368191719055,0.517763756091396,-1.9482784271240234
No_PCGrad,0.916806161403656,0.522344034165144,2.107052803039551
PCGrad,0.914067268371582,0.47638212179144224,2.575482130050659
No_PCGrad,0.920029878616333,0.5782035175959269,1.776919960975647
PCGrad,0.9194090962409973,0.6355047133564949,1.6885781288146973
No_PCGrad,0.9158811569213867,0.6204341524839401,1.6334995031356812
PCGrad,0.9150707721710205,0.4455896288653215,2.8898448944091797
No_PCGrad,0.9193875193595886,0.6122625363866488,1.6548118591308594
PCGrad,0.9141784906387329,0.4254979442805052,4.585715293884277
No_PCGrad,0.9249411225318909,0.5741312226653099,1.785882592201233
PCGrad,0.9171969890594482,0.4697327044606209,2.117722749710083
